filename,vector,funcion_principal,case_unit_id,contribution
Mensaje Presidencial 2021.txt,mesianismo,sujeto_enemigo,ALBERTOF_2019_2023,0.0
Mensaje Presidencial 2021.txt,mesianismo,telos,ALBERTOF_2019_2023,0.0
Mensaje Presidencial 2021.txt,mesianismo,sacrificio,ALBERTOF_2019_2023,0.0
Mensaje Presidencial 2021.txt,mesianismo,medios,ALBERTOF_2019_2023,0.0
Mensaje Presidencial 2021.txt,mesianismo,prueba,ALBERTOF_2019_2023,0.0
Mensaje Presidencial 2021.txt,paternalismo,tiempo,ALBERTOF_2019_2023,0.0
Mensaje Presidencial 2021.txt,paternalismo,problema,ALBERTOF_2019_2023,0.0
Mensaje Presidencial 2021.txt,paternalismo,autoridad,ALBERTOF_2019_2023,0.0
Mensaje Presidencial 2021.txt,paternalismo,sujeto_enemigo,ALBERTOF_2019_2023,0.0
Mensaje Presidencial 2021.txt,paternalismo,telos,ALBERTOF_2019_2023,1.25
Mensaje Presidencial 2021.txt,paternalismo,sacrificio,ALBERTOF_2019_2023,0.0
Mensaje Presidencial 2021.txt,paternalismo,medios,ALBERTOF_2019_2023,0.536
Mensaje Presidencial 2021.txt,paternalismo,prueba,ALBERTOF_2019_2023,0.0
Mensaje Presidencial 2022.txt,tecnocracia,tiempo,ALBERTOF_2019_2023,0.0
Mensaje Presidencial 2022.txt,tecnocracia,problema,ALBERTOF_2019_2023,0.0
Mensaje Presidencial 2022.txt,tecnocracia,autoridad,ALBERTOF_2019_2023,0.0
Mensaje Presidencial 2022.txt,tecnocracia,sujeto_enemigo,ALBERTOF_2019_2023,0.0
Mensaje Presidencial 2022.txt,tecnocracia,telos,ALBERTOF_2019_2023,0.0
Mensaje Presidencial 2022.txt,tecnocracia,sacrificio,ALBERTOF_2019_2023,0.0
Mensaje Presidencial 2022.txt,tecnocracia,medios,ALBERTOF_2019_2023,0.536
Mensaje Presidencial 2022.txt,tecnocracia,prueba,ALBERTOF_2019_2023,0.536
Mensaje Presidencial 2022.txt,mesianismo,tiempo,ALBERTOF_2019_2023,0.0
Mensaje Presidencial 2022.txt,mesianismo,problema,ALBERTOF_2019_2023,0.0
Mensaje Presidencial 2022.txt,mesianismo,autoridad,ALBERTOF_2019_2023,0.0
Mensaje Presidencial 2022.txt,mesianismo,sujeto_enemigo,ALBERTOF_2019_2023,0.0
Mensaje Presidencial 2022.txt,mesianismo,telos,ALBERTOF_2019_2023,1.25
Mensaje Presidencial 2022.txt,mesianismo,sacrificio,ALBERTOF_2019_2023,0.0
Mensaje Presidencial 2022.txt,mesianismo,medios,ALBERTOF_2019_2023,0.0
Mensaje Presidencial 2022.txt,mesianismo,prueba,ALBERTOF_2019_2023,0.0
Mensaje Presidencial 2022.txt,paternalismo,tiempo,ALBERTOF_2019_2023,0.0
Mensaje Presidencial 2022.txt,paternalismo,problema,ALBERTOF_2019_2023,0.0
Mensaje Presidencial 2022.txt,paternalismo,autoridad,ALBERTOF_2019_2023,0.0
Mensaje Presidencial 2022.txt,paternalismo,sujeto_enemigo,ALBERTOF_2019_2023,0.0
Mensaje Presidencial 2022.txt,paternalismo,telos,ALBERTOF_2019_2023,1.25
Mensaje Presidencial 2022.txt,paternalismo,sacrificio,ALBERTOF_2019_2023,0.0
Mensaje Presidencial 2022.txt,paternalismo,medios,ALBERTOF_2019_2023,0.536
Mensaje Presidencial 2022.txt,paternalismo,prueba,ALBERTOF_2019_2023,0.0
1983-12-10_Mensaje_Presidencial_Alfonsin_Asuncixn.txt,tecnocracia,tiempo,ALFONSIN_1983_1989,0.0
1983-12-10_Mensaje_Presidencial_Alfonsin_Asuncixn.txt,tecnocracia,problema,ALFONSIN_1983_1989,0.7370000000000001
1983-12-10_Mensaje_Presidencial_Alfonsin_Asuncixn.txt,tecnocracia,autoridad,ALFONSIN_1983_1989,0.0
1983-12-10_Mensaje_Presidencial_Alfonsin_Asuncixn.txt,tecnocracia,sujeto_enemigo,ALFONSIN_1983_1989,0.0
1983-12-10_Mensaje_Presidencial_Alfonsin_Asuncixn.txt,tecnocracia,telos,ALFONSIN_1983_1989,0.0
1983-12-10_Mensaje_Presidencial_Alfonsin_Asuncixn.txt,tecnocracia,sacrificio,ALFONSIN_1983_1989,0.0
1983-12-10_Mensaje_Presidencial_Alfonsin_Asuncixn.txt,tecnocracia,medios,ALFONSIN_1983_1989,0.536
1983-12-10_Mensaje_Presidencial_Alfonsin_Asuncixn.txt,tecnocracia,prueba,ALFONSIN_1983_1989,0.536
1983-12-10_Mensaje_Presidencial_Alfonsin_Asuncixn.txt,mesianismo,tiempo,ALFONSIN_1983_1989,1.25
1983-12-10_Mensaje_Presidencial_Alfonsin_Asuncixn.txt,mesianismo,problema,ALFONSIN_1983_1989,0.0
1983-12-10_Mensaje_Presidencial_Alfonsin_Asuncixn.txt,mesianismo,autoridad,ALFONSIN_1983_1989,0.0
1983-12-10_Mensaje_Presidencial_Alfonsin_Asuncixn.txt,mesianismo,sujeto_enemigo,ALFONSIN_1983_1989,0.0
1983-12-10_Mensaje_Presidencial_Alfonsin_Asuncixn.txt,mesianismo,telos,ALFONSIN_1983_1989,1.25
1983-12-10_Mensaje_Presidencial_Alfonsin_Asuncixn.txt,mesianismo,sacrificio,ALFONSIN_1983_1989,0.0
1983-12-10_Mensaje_Presidencial_Alfonsin_Asuncixn.txt,mesianismo,medios,ALFONSIN_1983_1989,0.0
1983-12-10_Mensaje_Presidencial_Alfonsin_Asuncixn.txt,mesianismo,prueba,ALFONSIN_1983_1989,0.0
1983-12-10_Mensaje_Presidencial_Alfonsin_Asuncixn.txt,paternalismo,tiempo,ALFONSIN_1983_1989,0.0
1983-12-10_Mensaje_Presidencial_Alfonsin_Asuncixn.txt,paternalismo,problema,ALFONSIN_1983_1989,0.0
1983-12-10_Mensaje_Presidencial_Alfonsin_Asuncixn.txt,paternalismo,autoridad,ALFONSIN_1983_1989,0.0
1983-12-10_Mensaje_Presidencial_Alfonsin_Asuncixn.txt,paternalismo,sujeto_enemigo,ALFONSIN_1983_1989,1.1
1983-12-10_Mensaje_Presidencial_Alfonsin_Asuncixn.txt,paternalismo,telos,ALFONSIN_1983_1989,1.25
1983-12-10_Mensaje_Presidencial_Alfonsin_Asuncixn.txt,paternalismo,sacrificio,ALFONSIN_1983_1989,0.0
1983-12-10_Mensaje_Presidencial_Alfonsin_Asuncixn.txt,paternalismo,medios,ALFONSIN_1983_1989,0.536
1983-12-10_Mensaje_Presidencial_Alfonsin_Asuncixn.txt,paternalismo,prueba,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1984.txt,tecnocracia,tiempo,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1984.txt,tecnocracia,problema,ALFONSIN_1983_1989,0.7370000000000001
MENSAJE PRESIDENCIAL 1984.txt,tecnocracia,autoridad,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1984.txt,tecnocracia,sujeto_enemigo,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1984.txt,tecnocracia,telos,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1984.txt,tecnocracia,sacrificio,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1984.txt,tecnocracia,medios,ALFONSIN_1983_1989,0.536
MENSAJE PRESIDENCIAL 1984.txt,tecnocracia,prueba,ALFONSIN_1983_1989,0.536
MENSAJE PRESIDENCIAL 1984.txt,mesianismo,tiempo,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1984.txt,mesianismo,problema,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1984.txt,mesianismo,autoridad,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1984.txt,mesianismo,sujeto_enemigo,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1984.txt,mesianismo,telos,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1984.txt,mesianismo,sacrificio,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1984.txt,mesianismo,medios,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1984.txt,mesianismo,prueba,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1984.txt,paternalismo,tiempo,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1984.txt,paternalismo,problema,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1984.txt,paternalismo,autoridad,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1984.txt,paternalismo,sujeto_enemigo,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1984.txt,paternalismo,telos,ALFONSIN_1983_1989,1.25
MENSAJE PRESIDENCIAL 1984.txt,paternalismo,sacrificio,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1984.txt,paternalismo,medios,ALFONSIN_1983_1989,0.536
MENSAJE PRESIDENCIAL 1984.txt,paternalismo,prueba,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1985.txt,tecnocracia,tiempo,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1985.txt,tecnocracia,problema,ALFONSIN_1983_1989,0.7370000000000001
MENSAJE PRESIDENCIAL 1985.txt,tecnocracia,autoridad,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1985.txt,tecnocracia,sujeto_enemigo,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1985.txt,tecnocracia,telos,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1985.txt,tecnocracia,sacrificio,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1985.txt,tecnocracia,medios,ALFONSIN_1983_1989,0.536
MENSAJE PRESIDENCIAL 1985.txt,tecnocracia,prueba,ALFONSIN_1983_1989,0.536
MENSAJE PRESIDENCIAL 1985.txt,mesianismo,tiempo,ALFONSIN_1983_1989,1.25
MENSAJE PRESIDENCIAL 1985.txt,mesianismo,problema,ALFONSIN_1983_1989,1.1
MENSAJE PRESIDENCIAL 1985.txt,mesianismo,autoridad,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1985.txt,mesianismo,sujeto_enemigo,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1985.txt,mesianismo,telos,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1985.txt,mesianismo,sacrificio,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1985.txt,mesianismo,medios,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1985.txt,mesianismo,prueba,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1985.txt,paternalismo,tiempo,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1985.txt,paternalismo,problema,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1985.txt,paternalismo,autoridad,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1985.txt,paternalismo,sujeto_enemigo,ALFONSIN_1983_1989,0.21175000000000002
MENSAJE PRESIDENCIAL 1985.txt,paternalismo,telos,ALFONSIN_1983_1989,1.25
