filename,vector,total_strength,positive_strength,positive_signals,exterior_signals,low_confidence,positive_retention,leadership_score,positive_function_count,raw_score,adjusted_mass_score
1995-07-08_Mensaje_Presidencial_Menem_Asuncixn.txt,tecnocracia,8.0,8.0,4.0,0.0,0.0,1.0,0.06196531791907515,1.0,4.53,4.53
1995-07-08_Mensaje_Presidencial_Menem_Asuncixn.txt,mesianismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-07-08_Mensaje_Presidencial_Menem_Asuncixn.txt,paternalismo,12.0,12.0,4.0,0.0,0.0,1.0,0.1445086705202312,1.0,6.795,6.795
MENSAJE PRESIDENCIAL 1995.txt,tecnocracia,24.0,24.0,9.0,0.0,0.0,1.0,0.20913294797687862,3.0,40.991,40.991
MENSAJE PRESIDENCIAL 1995.txt,mesianismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MENSAJE PRESIDENCIAL 1995.txt,paternalismo,23.0,19.1,7.0,1.0,0.0,0.8304347826086957,0.16231213872832367,2.0,41.902,34.79687826086957
MENSAJE PRESIDENCIAL 1996.txt,tecnocracia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MENSAJE PRESIDENCIAL 1996.txt,mesianismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MENSAJE PRESIDENCIAL 1996.txt,paternalismo,11.0,9.65,4.0,0.0,0.0,0.8772727272727273,0.27167630057803466,2.0,32.458,28.474518181818183
MENSAJE PRESIDENCIAL 1997.txt,tecnocracia,32.0,29.0,11.0,1.0,1.0,0.90625,0.1239306358381503,2.0,51.329,46.51690625
MENSAJE PRESIDENCIAL 1997.txt,mesianismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MENSAJE PRESIDENCIAL 1997.txt,paternalismo,27.0,26.1,10.0,0.0,1.0,0.9666666666666667,0.3336416184971098,3.0,49.496,47.846133333333334
1998-03-01_Mensaje_Presidencial_Menem.txt,tecnocracia,15.0,15.0,6.0,0.0,0.0,1.0,0.1239306358381503,2.0,18.8,18.8
1998-03-01_Mensaje_Presidencial_Menem.txt,mesianismo,4.0,4.0,2.0,0.0,0.0,1.0,0.1445086705202312,1.0,6.836,6.836
1998-03-01_Mensaje_Presidencial_Menem.txt,paternalismo,24.0,22.0,8.0,1.0,0.0,0.9166666666666666,0.20647398843930637,2.0,41.019,37.60075
1999-03-01_Mensaje_Presidencial_Menem.txt,tecnocracia,14.0,14.0,7.0,0.0,0.0,1.0,0.14716763005780348,2.0,10.246,10.246
1999-03-01_Mensaje_Presidencial_Menem.txt,mesianismo,3.0,3.0,1.0,0.0,0.0,1.0,0.1445086705202312,1.0,3.616,3.616
1999-03-01_Mensaje_Presidencial_Menem.txt,paternalismo,18.0,15.3,7.0,0.0,0.0,0.8500000000000001,0.20647398843930637,2.0,21.697,18.44245
1999-12-10_Mensaje_presidencial_de_la_Rua_Asuncixn.txt,tecnocracia,12.0,12.0,4.0,0.0,0.0,1.0,0.14716763005780348,2.0,17.117,17.117
1999-12-10_Mensaje_presidencial_de_la_Rua_Asuncixn.txt,mesianismo,2.0,2.0,1.0,0.0,0.0,1.0,0.1445086705202312,1.0,5.705863826550019,5.705863826550019
1999-12-10_Mensaje_presidencial_de_la_Rua_Asuncixn.txt,paternalismo,13.0,10.65,5.0,1.0,0.0,0.8192307692307692,0.23095375722543351,3.0,24.724,20.254661538461537
2000-03-01_Mensaje_Presidencial_de_la_Rua.txt,tecnocracia,11.0,11.0,5.0,0.0,0.0,1.0,0.20913294797687862,3.0,18.948,18.948
2000-03-01_Mensaje_Presidencial_de_la_Rua.txt,mesianismo,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.737,0.0
2000-03-01_Mensaje_Presidencial_de_la_Rua.txt,paternalismo,13.0,11.65,6.0,0.0,0.0,0.8961538461538462,0.23095375722543351,3.0,30.791,27.59347307692308
2001-12-22_23_Mensaje_Presidencial_Rodrxguez_Sax_Asuncixn.txt,tecnocracia,5.0,5.0,3.0,0.0,0.0,1.0,0.14716763005780348,2.0,3.54,3.54
2001-12-22_23_Mensaje_Presidencial_Rodrxguez_Sax_Asuncixn.txt,mesianismo,9.0,6.0,2.0,1.0,0.0,0.6666666666666666,0.1445086705202312,1.0,5.786206657137022,3.8574711047580146
2001-12-22_23_Mensaje_Presidencial_Rodrxguez_Sax_Asuncixn.txt,paternalismo,9.0,7.65,3.0,0.0,1.0,0.8500000000000001,0.20647398843930637,2.0,9.666,8.2161
2001-03-01_Mensaje_Presidencial_de_la_Rua.txt,tecnocracia,37.0,34.0,15.0,1.0,0.0,0.918918918918919,0.20913294797687862,3.0,30.426,27.959027027027027
2001-03-01_Mensaje_Presidencial_de_la_Rua.txt,mesianismo,8.0,8.0,4.0,0.0,0.0,1.0,0.2890173410404624,2.0,10.142,10.142
2001-03-01_Mensaje_Presidencial_de_la_Rua.txt,paternalismo,21.0,18.0,8.0,1.0,0.0,0.8571428571428571,0.20647398843930637,2.0,26.623,22.819714285714287
2002-01-01_Mensaje_Presidencial_Duhalde_Asuncixn.txt,tecnocracia,5.0,5.0,4.0,0.0,0.0,1.0,0.20913294797687862,3.0,4.257,4.257
2002-01-01_Mensaje_Presidencial_Duhalde_Asuncixn.txt,mesianismo,2.0,2.0,1.0,0.0,0.0,1.0,0.1445086705202312,1.0,8.514,8.514
2002-01-01_Mensaje_Presidencial_Duhalde_Asuncixn.txt,paternalismo,3.0,3.0,1.0,0.0,0.0,1.0,0.1445086705202312,1.0,12.771,12.771
2002-03-01_Mensaje_Presidencial_Duhalde.txt,tecnocracia,28.0,28.0,11.0,0.0,0.0,1.0,0.14716763005780348,2.0,37.216,37.216
2002-03-01_Mensaje_Presidencial_Duhalde.txt,mesianismo,9.0,9.0,3.0,0.0,0.0,1.0,0.1445086705202312,1.0,18.105,18.105
2002-03-01_Mensaje_Presidencial_Duhalde.txt,paternalismo,17.0,15.65,6.0,0.0,1.0,0.9205882352941177,0.23095375722543351,3.0,34.198,31.48227647058824
2003-03-01_Mensaje_Presidencial_Duhalde.txt,tecnocracia,11.0,11.0,5.0,0.0,0.0,1.0,0.06196531791907515,1.0,14.623,14.623
2003-03-01_Mensaje_Presidencial_Duhalde.txt,mesianismo,3.0,3.0,1.0,0.0,0.0,1.0,0.1445086705202312,1.0,6.267,6.267
2003-03-01_Mensaje_Presidencial_Duhalde.txt,paternalismo,6.0,6.0,3.0,0.0,0.0,1.0,0.20647398843930637,2.0,12.534,12.534
2003-05-25_Mensaje_Presidencial_Kirchner_Asuncixn.txt,tecnocracia,27.0,27.0,11.0,0.0,0.0,1.0,0.14716763005780348,2.0,30.204,30.204
2003-05-25_Mensaje_Presidencial_Kirchner_Asuncixn.txt,mesianismo,2.0,2.0,1.0,0.0,0.0,1.0,0.1445086705202312,1.0,3.098,3.098
2003-05-25_Mensaje_Presidencial_Kirchner_Asuncixn.txt,paternalismo,22.0,20.0,9.0,1.0,1.0,0.9090909090909091,0.20647398843930637,2.0,34.077,30.979090909090907
2004-03-01_Mensaje_Presidencial_Kirchner.txt,tecnocracia,23.0,23.0,10.0,0.0,0.0,1.0,0.20913294797687862,3.0,14.416,14.416
2004-03-01_Mensaje_Presidencial_Kirchner.txt,mesianismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-01_Mensaje_Presidencial_Kirchner.txt,paternalismo,27.0,22.75,10.0,1.0,1.0,0.8425925925925926,0.20647398843930637,2.0,25.112,21.159185185185184
2005-03-01_Mensaje_Presidencial_Kirchner.txt,tecnocracia,46.0,46.0,18.0,0.0,0.0,1.0,0.20913294797687862,3.0,26.285,26.285
2005-03-01_Mensaje_Presidencial_Kirchner.txt,mesianismo,2.0,2.0,1.0,0.0,0.0,1.0,0.1445086705202312,1.0,1.44,1.44
2005-03-01_Mensaje_Presidencial_Kirchner.txt,paternalismo,31.0,27.85,15.0,0.0,0.0,0.8983870967741936,0.23095375722543351,3.0,22.325,20.056491935483873
2006-03-01_Mensaje_Presidencial_Kirchner.txt,tecnocracia,92.0,89.0,34.0,1.0,0.0,0.967391304347826,0.20913294797687862,3.0,41.129,39.78783695652174
2006-03-01_Mensaje_Presidencial_Kirchner.txt,mesianismo,3.0,3.0,1.0,0.0,0.0,1.0,0.1445086705202312,1.0,1.523,1.523
2006-03-01_Mensaje_Presidencial_Kirchner.txt,paternalismo,68.0,58.35,25.0,2.0,0.0,0.8580882352941177,0.3336416184971098,3.0,34.528,29.628070588235296
Asunción.Cristina.2007.txt,tecnocracia,5.0,5.0,2.0,0.0,0.0,1.0,0.14716763005780348,2.0,7.673,7.673
Asunción.Cristina.2007.txt,mesianismo,4.0,4.0,2.0,0.0,0.0,1.0,0.1445086705202312,1.0,7.673,7.673
Asunción.Cristina.2007.txt,paternalismo,15.0,15.0,6.0,0.0,0.0,1.0,0.2509826589595376,3.0,28.774,28.774
2007-03-01_Mensaje_Presidencial_Kirchner.txt,tecnocracia,67.0,67.0,25.0,0.0,0.0,1.0,0.20913294797687862,3.0,27.133,27.133
2007-03-01_Mensaje_Presidencial_Kirchner.txt,mesianismo,7.0,7.0,3.0,0.0,0.0,1.0,0.43352601156069365,3.0,3.742814371257485,3.742814371257485
2007-03-01_Mensaje_Presidencial_Kirchner.txt,paternalismo,56.0,51.95,21.0,0.0,0.0,0.9276785714285715,0.2509826589595376,3.0,26.198,24.303323214285715
MENSAJE PRESIDENCIAL.2008.txt,tecnocracia,45.0,45.0,17.0,0.0,0.0,1.0,0.20913294797687862,3.0,42.676,42.676
MENSAJE PRESIDENCIAL.2008.txt,mesianismo,2.0,2.0,1.0,0.0,0.0,1.0,0.1445086705202312,1.0,3.734341406166649,3.734341406166649
MENSAJE PRESIDENCIAL.2008.txt,paternalismo,4.0,4.0,2.0,0.0,0.0,1.0,0.2890173410404624,2.0,4.268,4.268
2010-03-01 Mensaje Presidencial Fernandez.txt,tecnocracia,10.0,10.0,5.0,0.0,0.0,1.0,0.1239306358381503,2.0,5.122,5.122
2010-03-01 Mensaje Presidencial Fernandez.txt,mesianismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-01 Mensaje Presidencial Fernandez.txt,paternalismo,15.0,15.0,5.0,0.0,0.0,1.0,0.20647398843930637,2.0,12.805,12.805
2011-03-01 Mensaje Presidencial Fernandez.txt,tecnocracia,53.0,53.0,22.0,0.0,0.0,1.0,0.1239306358381503,2.0,42.818,42.818
2011-03-01 Mensaje Presidencial Fernandez.txt,mesianismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.259340105784569,0.0
2011-03-01 Mensaje Presidencial Fernandez.txt,paternalismo,28.0,28.0,11.0,0.0,2.0,1.0,0.3336416184971098,3.0,23.508,23.508
Asunción.Cristina.2011.txt,tecnocracia,15.0,15.0,7.0,0.0,0.0,1.0,0.1239306358381503,2.0,14.158,14.158
Asunción.Cristina.2011.txt,mesianismo,3.0,3.0,1.0,0.0,0.0,1.0,0.1445086705202312,1.0,3.539,3.539
Asunción.Cristina.2011.txt,paternalismo,3.0,3.0,1.0,0.0,0.0,1.0,0.06196531791907515,1.0,3.539,3.539
2012-03-01 Mensaje Presidencial Fernandez.txt,tecnocracia,26.0,26.0,13.0,0.0,0.0,1.0,0.1239306358381503,2.0,6.576,6.576
2012-03-01 Mensaje Presidencial Fernandez.txt,mesianismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01 Mensaje Presidencial Fernandez.txt,paternalismo,28.0,23.95,10.0,0.0,1.0,0.8553571428571428,0.20647398843930637,2.0,11.507,9.842594642857142
2013-03-01_Asamblea_Legislativa-Fernandez.txt,tecnocracia,49.0,48.0,20.0,1.0,0.0,0.9795918367346939,0.1239306358381503,2.0,15.179,14.869224489795918
2013-03-01_Asamblea_Legislativa-Fernandez.txt,mesianismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-01_Asamblea_Legislativa-Fernandez.txt,paternalismo,61.0,58.3,21.0,0.0,0.0,0.9557377049180328,0.20647398843930637,2.0,21.786,20.821701639344262
2014-03-01_Asamblea_Legislativa-Fernandez.txt,tecnocracia,40.0,40.0,16.0,0.0,0.0,1.0,0.20913294797687862,3.0,18.179,18.179
2014-03-01_Asamblea_Legislativa-Fernandez.txt,mesianismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-01_Asamblea_Legislativa-Fernandez.txt,paternalismo,39.0,34.0,13.0,3.0,1.0,0.8717948717948718,0.20647398843930637,2.0,19.162,16.705333333333332
2015-03-01_Asamblea_Legislativa-Fernandez.txt,tecnocracia,41.0,40.0,17.0,1.0,0.0,0.975609756097561,0.1239306358381503,2.0,12.362,12.060487804878049
2015-03-01_Asamblea_Legislativa-Fernandez.txt,mesianismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01_Asamblea_Legislativa-Fernandez.txt,paternalismo,51.0,39.0,16.0,4.0,0.0,0.7647058823529411,0.20647398843930637,2.0,18.275,13.974999999999998
2015-12-10_Mensaje_Presidencial_Macri_Asuncixn.txt,tecnocracia,3.0,3.0,1.0,0.0,0.0,1.0,0.06196531791907515,1.0,10.135,10.135
2015-12-10_Mensaje_Presidencial_Macri_Asuncixn.txt,mesianismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-10_Mensaje_Presidencial_Macri_Asuncixn.txt,paternalismo,8.0,8.0,3.0,0.0,0.0,1.0,0.20647398843930637,2.0,27.027,27.027
2016-03-01_Asamblea_Legislativa-Macri.txt,tecnocracia,26.0,26.0,10.0,0.0,1.0,1.0,0.20913294797687862,3.0,30.177,30.177
