filename,actor,case_unit_id,case_unit,year,genre,source_path,source_sha256,analysis_window,match_count,tec_matches,mes_matches,pat_matches,corpus_freeze_version,prior_configuration,candidate_configuration,candidate_notation,candidate_pair,dominant,secondary,tertiary,dominant_leadership,secondary_leadership,leadership_margin,direction_status,pair_source,recursive_feedback,tertiary_positive_retention,review_required
MENSAJE PRESIDENCIAL 1992.txt,Carlos Menem,MENEM_I_1989_1995,Carlos Menem I (1989–1995),1992,apertura,corpus/processed/txt_analysis_ready_v3/MENSAJE PRESIDENCIAL 1992.txt,211b61aec0cec154eef83ee3926f78b90964669aae528fcc52f530a7ab012e5d,full_presidential_document,23,5,2,16,HCDN_NB17_v0_3,paternalismo↔tecnocracia,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,mesianismo,0.2064739884393063,0.1239306358381503,0.082543352601156,directed,masa léxica corregida por polaridad simétrica,False,1.0,False
MENSAJE PRESIDENCIAL 1993.txt,Carlos Menem,MENEM_I_1989_1995,Carlos Menem I (1989–1995),1993,apertura,corpus/processed/txt_analysis_ready_v3/MENSAJE PRESIDENCIAL 1993.txt,ef2618c4db6f2708844e523629b09fae760315068b72115dc9ce8fd8447ab9fa,full_presidential_document,5,2,0,3,HCDN_NB17_v0_3,paternalismo↔tecnocracia,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,mesianismo,0.2064739884393063,0.1239306358381503,0.082543352601156,directed,masa léxica corregida por polaridad simétrica,False,0.0,False
MENSAJE PRESIDENCIAL 1994.txt,Carlos Menem,MENEM_I_1989_1995,Carlos Menem I (1989–1995),1994,apertura,corpus/processed/txt_analysis_ready_v3/MENSAJE PRESIDENCIAL 1994.txt,efa24d8a9223a093ff4b0eba3ca7f2587cbf54f2ced35939553fee02c1213211,full_presidential_document,18,9,2,7,HCDN_NB17_v0_3,paternalismo+tecnocracia,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,mesianismo,0.2064739884393063,0.1239306358381503,0.082543352601156,directed,masa léxica corregida por polaridad simétrica,False,1.0,False
1995-07-08_Mensaje_Presidencial_Menem_Asuncixn.txt,Carlos Menem,MENEM_II_1995_1999,Carlos Menem II (1995–1999),1995,apertura,corpus/processed/txt_analysis_ready_v3/1995-07-08_Mensaje_Presidencial_Menem_Asuncixn.txt,31454519eeaaf8af80caf72962954a48f9334625a96d0e78619e23ca1d450ae6,full_presidential_document,8,4,0,4,HCDN_NB17_v0_3,paternalismo↔tecnocracia,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,mesianismo,0.1445086705202312,0.0619653179190751,0.082543352601156,directed,masa léxica corregida por polaridad simétrica,False,0.0,False
MENSAJE PRESIDENCIAL 1995.txt,Carlos Menem,MENEM_I_1989_1995,Carlos Menem I (1989–1995),1995,apertura,corpus/processed/txt_analysis_ready_v3/MENSAJE PRESIDENCIAL 1995.txt,33bc0662e8304c37d98bb4548ee4b7b3dd6b1c12763b0fe2baa1908af0eea60b,full_presidential_document,17,9,0,8,HCDN_NB17_v0_3,paternalismo+tecnocracia,tecnocracia↔paternalismo,TEC↔PAT,PAT–TEC,tecnocracia,paternalismo,mesianismo,0.2091329479768786,0.1623121387283236,0.0468208092485549,indeterminate,masa léxica corregida por polaridad simétrica,False,0.0,False
MENSAJE PRESIDENCIAL 1996.txt,Carlos Menem,MENEM_II_1995_1999,Carlos Menem II (1995–1999),1996,apertura,corpus/processed/txt_analysis_ready_v3/MENSAJE PRESIDENCIAL 1996.txt,c4ac75ec30abf1816e70c14b0c783f85dbeca9a99a176f064164675931ffd9e5,full_presidential_document,4,0,0,4,HCDN_NB17_v0_3,paternalismo+none,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,mesianismo,0.2716763005780346,0.0,0.2716763005780346,directed,masa léxica corregida por polaridad simétrica,False,0.0,False
MENSAJE PRESIDENCIAL 1997.txt,Carlos Menem,MENEM_II_1995_1999,Carlos Menem II (1995–1999),1997,apertura,corpus/processed/txt_analysis_ready_v3/MENSAJE PRESIDENCIAL 1997.txt,cf0c3011f91bd078f839ef47150ac42249271fa1b65bc18e98c073cc2e639f82,full_presidential_document,22,12,0,10,HCDN_NB17_v0_3,tecnocracia↔paternalismo,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,mesianismo,0.3336416184971098,0.1239306358381503,0.2097109826589595,directed,masa léxica corregida por polaridad simétrica,False,0.0,True
1998-03-01_Mensaje_Presidencial_Menem.txt,Carlos Menem,MENEM_II_1995_1999,Carlos Menem II (1995–1999),1998,apertura,corpus/processed/txt_analysis_ready_v3/1998-03-01_Mensaje_Presidencial_Menem.txt,d6e74c485dc82e4e0a89bf6d03531c8d786f7f4abd4fca5db0c887f006f5f9c2,full_presidential_document,17,6,2,9,HCDN_NB17_v0_3,paternalismo+tecnocracia,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,mesianismo,0.2064739884393063,0.1239306358381503,0.082543352601156,directed,masa léxica corregida por polaridad simétrica,False,1.0,False
1999-03-01_Mensaje_Presidencial_Menem.txt,Carlos Menem,MENEM_II_1995_1999,Carlos Menem II (1995–1999),1999,apertura,corpus/processed/txt_analysis_ready_v3/1999-03-01_Mensaje_Presidencial_Menem.txt,60fb23f67756d7efb4c13ea97a7e7bd2d2f44c8e8cf7e606aeef48dff7d8e4e9,full_presidential_document,15,7,1,7,HCDN_NB17_v0_3,paternalismo↔tecnocracia,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,mesianismo,0.2064739884393063,0.1471676300578034,0.0593063583815028,directed,masa léxica corregida por polaridad simétrica,False,1.0,False
1999-12-10_Mensaje_presidencial_de_la_Rua_Asuncixn.txt,Fernando de la Rúa,DELARUA_1999_2001,Fernando de la Rúa (1999–2001),1999,apertura,corpus/processed/txt_analysis_ready_v3/1999-12-10_Mensaje_presidencial_de_la_Rua_Asuncixn.txt,7972cd1bc11ee399b899d1afbcdd489bc4c07ca6bc8852e928f8c64e0ecf4ae5,full_presidential_document,11,4,1,6,HCDN_NB17_v0_3,paternalismo↔tecnocracia,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,mesianismo,0.2309537572254335,0.1471676300578034,0.08378612716763,directed,masa léxica corregida por polaridad simétrica,False,1.0,False
2000-03-01_Mensaje_Presidencial_de_la_Rua.txt,Fernando de la Rúa,DELARUA_1999_2001,Fernando de la Rúa (1999–2001),2000,apertura,corpus/processed/txt_analysis_ready_v3/2000-03-01_Mensaje_Presidencial_de_la_Rua.txt,bf5a45f004579196af432363abe117a089f076aa584a40a9d6a42d25d20ff04d,full_presidential_document,12,5,1,6,HCDN_NB17_v0_3,paternalismo↔tecnocracia,paternalismo↔tecnocracia,PAT↔TEC,PAT–TEC,paternalismo,tecnocracia,mesianismo,0.2309537572254335,0.2091329479768786,0.0218208092485548,indeterminate,masa léxica corregida por polaridad simétrica,False,0.0,False
2001-03-01_Mensaje_Presidencial_de_la_Rua.txt,Fernando de la Rúa,DELARUA_1999_2001,Fernando de la Rúa (1999–2001),2001,apertura,corpus/processed/txt_analysis_ready_v3/2001-03-01_Mensaje_Presidencial_de_la_Rua.txt,72a5078a3e6cdc665915f33394ebe30cd956f4b7ccf77e7a4c7fbcbb36b0ba5e,full_presidential_document,29,16,4,9,HCDN_NB17_v0_3,tecnocracia↔paternalismo,tecnocracia↔paternalismo,TEC↔PAT,PAT–TEC,tecnocracia,paternalismo,mesianismo,0.2091329479768786,0.2064739884393063,0.0026589595375722,indeterminate,masa léxica corregida por polaridad simétrica,False,1.0,False
