case_unit_id,short_label,omitted_function,screen_winner,candidate_winner,margin,indeterminate,preserves_candidate
CFK_I_2007_2011,CFK I,problema,paternalismo,paternalismo,1.3977499999999998,False,True
CFK_I_2007_2011,CFK I,autoridad,paternalismo,paternalismo,0.7167499999999998,False,True
CFK_I_2007_2011,CFK I,sujeto_enemigo,paternalismo,paternalismo,0.6579999999999999,False,True
CFK_I_2007_2011,CFK I,telos,tecnocracia,tecnocracia,0.22075000000000022,False,False
CFK_I_2007_2011,CFK I,sacrificio,paternalismo,paternalismo,1.0292499999999998,False,True
CFK_I_2007_2011,CFK I,medios,paternalismo,paternalismo,1.1632500000000001,False,True
CFK_I_2007_2011,CFK I,prueba,paternalismo,paternalismo,1.43125,False,True
CFK_II_2011_2015,CFK II,none,paternalismo,paternalismo,0.3166,False,True
CFK_II_2011_2015,CFK II,tiempo,paternalismo,paternalismo,0.3166,False,True
CFK_II_2011_2015,CFK II,problema,paternalismo,paternalismo,0.46399999999999997,False,True
CFK_II_2011_2015,CFK II,autoridad,paternalismo,paternalismo,0.3166,False,True
CFK_II_2011_2015,CFK II,sujeto_enemigo,paternalismo,paternalismo,0.3166,False,True
CFK_II_2011_2015,CFK II,telos,tecnocracia,tecnocracia,0.6834,False,False
CFK_II_2011_2015,CFK II,sacrificio,paternalismo,paternalismo,0.3166,False,True
CFK_II_2011_2015,CFK II,medios,paternalismo,paternalismo,0.3166,False,True
CFK_II_2011_2015,CFK II,prueba,paternalismo,paternalismo,0.8526,False,True
MACRI_2015_2019,Macri,none,tecnocracia,tecnocracia,0.25164999999999993,False,True
MACRI_2015_2019,Macri,tiempo,tecnocracia,tecnocracia,0.25164999999999993,False,True
MACRI_2015_2019,Macri,problema,paternalismo,paternalismo,0.1905500000000001,False,False
MACRI_2015_2019,Macri,autoridad,tecnocracia,tecnocracia,0.25164999999999993,False,True
MACRI_2015_2019,Macri,sujeto_enemigo,tecnocracia,tecnocracia,0.371,False,True
MACRI_2015_2019,Macri,telos,tecnocracia,tecnocracia,0.75165,False,True
MACRI_2015_2019,Macri,sacrificio,tecnocracia,tecnocracia,0.25164999999999993,False,True
MACRI_2015_2019,Macri,medios,tecnocracia,tecnocracia,0.14444999999999997,False,True
MACRI_2015_2019,Macri,prueba,paternalismo,paternalismo,0.06995000000000007,False,False
ALBERTOF_2019_2023,A. Fernández,none,paternalismo,paternalismo,0.4292499999999999,False,True
ALBERTOF_2019_2023,A. Fernández,tiempo,paternalismo,paternalismo,0.4292499999999999,False,True
ALBERTOF_2019_2023,A. Fernández,problema,paternalismo,paternalismo,0.982,False,True
ALBERTOF_2019_2023,A. Fernández,autoridad,paternalismo,paternalismo,0.4292499999999999,False,True
ALBERTOF_2019_2023,A. Fernández,sujeto_enemigo,paternalismo,paternalismo,0.4292499999999999,False,True
ALBERTOF_2019_2023,A. Fernández,telos,tecnocracia,tecnocracia,0.8207500000000001,False,False
ALBERTOF_2019_2023,A. Fernández,sacrificio,paternalismo,paternalismo,0.4292499999999999,False,True
ALBERTOF_2019_2023,A. Fernández,medios,paternalismo,paternalismo,0.4292499999999999,False,True
ALBERTOF_2019_2023,A. Fernández,prueba,paternalismo,paternalismo,0.6972499999999999,False,True
MILEI_2023_PRESENTE,Milei,none,mesianismo,mesianismo,0.6409999999999996,False,True
MILEI_2023_PRESENTE,Milei,tiempo,tecnocracia,mesianismo,0.6090000000000002,False,True
MILEI_2023_PRESENTE,Milei,problema,mesianismo,mesianismo,1.3779999999999997,False,True
MILEI_2023_PRESENTE,Milei,autoridad,mesianismo,mesianismo,0.6409999999999996,False,True
MILEI_2023_PRESENTE,Milei,sujeto_enemigo,mesianismo,mesianismo,0.2743333333333333,False,True
MILEI_2023_PRESENTE,Milei,telos,tecnocracia,mesianismo,0.1923333333333337,False,True
MILEI_2023_PRESENTE,Milei,sacrificio,mesianismo,mesianismo,0.6409999999999996,False,True
MILEI_2023_PRESENTE,Milei,medios,mesianismo,mesianismo,1.1769999999999996,False,True
MILEI_2023_PRESENTE,Milei,prueba,mesianismo,mesianismo,1.1769999999999996,False,True
