filename,actor,year,period,genre,dominant_vector,secondary_vector,configuration,attractor_strength,total_score,gap,review_status,metadata_status,interpretation_status,notes
2002-03-01_Mensaje_Presidencial_Duhalde.txt,Eduardo Duhalde,2002.0,8. Menemismo y colapso (1989–2002),apertura,tecnocracia,paternalismo,tecnocracia+paternalismo,medium,89.519,3.018,not_in_active_queue,clean,usable,NB05 ambiguity flag (secondary vector near co-dominant)
2003-03-01_Mensaje_Presidencial_Duhalde.txt,Eduardo Duhalde,2003.0,9. Kirchnerismo (2003–2015),apertura,tecnocracia,paternalismo,tecnocracia+paternalismo,medium,33.424,2.089,not_in_active_queue,clean,usable,NB05 ambiguity flag (secondary vector near co-dominant)
1999-12-10_Mensaje_presidencial_de_la_Rua_Asuncixn.txt,Fernando de la Rúa,1999.0,8. Menemismo y colapso (1989–2002),apertura,paternalismo,tecnocracia,paternalismo+tecnocracia,medium,45.645,7.607,not_in_active_queue,clean,usable,
2000-03-01_Mensaje_Presidencial_de_la_Rua.txt,Fernando de la Rúa,2000.0,8. Menemismo y colapso (1989–2002),apertura,paternalismo,tecnocracia,paternalismo+tecnocracia,strong,54.476,11.843,not_in_active_queue,clean,usable,
2001-03-01_Mensaje_Presidencial_de_la_Rua.txt,Fernando de la Rúa,2001.0,8. Menemismo y colapso (1989–2002),apertura,tecnocracia,paternalismo,tecnocracia+paternalismo,medium,67.191,3.803,not_in_active_queue,clean,usable,NB05 ambiguity flag (secondary vector near co-dominant)
2024_Mensaje_Asamblea_Legislativa_Milei.txt,Javier Milei,2024.0,12. Libertarismo (2024–),apertura,tecnocracia,mesianismo,tecnocracia+mesianismo,medium,41.125,2.223,not_in_active_queue,clean,usable,NB05 ambiguity flag (secondary vector near co-dominant)
2025_Mensaje_Asamblea_Legislativa_Milei.txt,Javier Milei,2025.0,12. Libertarismo (2024–),apertura,tecnocracia,mesianismo,tecnocracia+mesianismo,strong,44.543,7.33,not_in_active_queue,clean,usable,
2015-12-10_Mensaje_Presidencial_Macri_Asuncixn.txt,Mauricio Macri,2015.0,10. Macrismo (2015–2019),apertura,paternalismo,tecnocracia,paternalismo+tecnocracia,strong,37.162,16.892,not_in_active_queue,clean,usable,
2016-03-01_Asamblea_Legislativa-Macri.txt,Mauricio Macri,2016.0,10. Macrismo (2015–2019),apertura,tecnocracia,paternalismo,tecnocracia+paternalismo,strong,43.11,17.244,not_in_active_queue,clean,usable,
2017-03-01-Asamblea-Legislativa-Macri.txt,Mauricio Macri,2017.0,10. Macrismo (2015–2019),apertura,tecnocracia,paternalismo,tecnocracia+paternalismo,strong,65.63,27.634,not_in_active_queue,clean,usable,
01.03.2018As.txt,Mauricio Macri,2018.0,10. Macrismo (2015–2019),apertura,paternalismo,tecnocracia,paternalismo+tecnocracia,indeterminate,10.44,2.088,cleared_provisional,clean,usable_low_weight,low-weight: indeterminate attractor retained after manual review; requires_manual_reading cleared_provisional after human text review
Mensaje Presidencial 2019.txt,Alberto Fernández,2019.0,11. Albertismo (2019–2023),apertura,tecnocracia,paternalismo,tecnocracia+paternalismo,indeterminate,30.335,0.0,still_ambiguous,corrected_v0_2,usable_low_weight,actor corrected 2026-04-29: was Macri → Alberto Fernández
VT-01-03-2019-AS-00.txt,Mauricio Macri,2019.0,11. Albertismo (2019–2023),apertura,tecnocracia,paternalismo,tecnocracia+paternalismo,strong,20.285,7.244,not_in_active_queue,clean,usable,
2003-05-25_Mensaje_Presidencial_Kirchner_Asuncixn.txt,Néstor Kirchner,2003.0,9. Kirchnerismo (2003–2015),apertura,paternalismo,tecnocracia,paternalismo+tecnocracia,medium,67.379,3.873,cleared_provisional,clean,usable_provisional,possible_overcorrection cleared_provisional; calibration flip noted; NB05 ambiguity flag (secondary vector near co-dominant)
2004-03-01_Mensaje_Presidencial_Kirchner.txt,Néstor Kirchner,2004.0,9. Kirchnerismo (2003–2015),apertura,paternalismo,tecnocracia,paternalismo+tecnocracia,strong,39.528,10.696,not_in_active_queue,clean,usable,
